Запрос;Описание
экономический кризис;определение экономического кризиса или новости о развитии кризиса
зарубежные новости;новости, информация о событиях, произошедших за границей
зарубежные политические новости;новости, информация о политических событиях, произошедших за границей
политические новости;новости, информация о политических событиях
кинематография;статьи о кинематографии как о виде искусства, об отдельных аспектах этого искусства
компьютерная верстка;статьи о подготовке печатных документов с помощью компьютера
книги рецензии;рецензии, отзывы о книгах
коллективизация;определение коллективизации, статьи о периоде коллективизации в СССР
электронные издания;сведения о рынке электронных книг и журналов, о новых и популярных электронных изданиях, электронных версиях книг
звездный путь;информация о сериале Star Trek или полнометражных фильмах об этой вселенной
астрономические обсерватории;информация об астрономических обсерваториях
